Quarter,IndexSydney,IndexMelbourne,IndexBrisbane,IndexAdelaide,IndexPerth,IndexHobart,IndexDarwin,IndexCanberra,IndexAverage,ChangeSydney,ChangeMelbourne,ChangeBrisbane,ChangeAdelaide,ChangePerth,ChangeHobart,ChangeDarwin,ChangeCanberra,ChangeAverage
1/09/2003,85.3,60.7,64.2,62.2,48.3,61.2,40.5,68.3,69.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/12/2003,88.2,62.1,69.4,63.9,50.6,66.5,43.3,70.9,71.6,3.4,2.3,8.1,2.7,4.8,8.7,6.9,3.8,3.8
1/03/2004,87.0,60.8,70.7,64.8,52.5,68.7,45.5,69.9,71.3,-1.4,-2.1,1.9,1.4,3.8,3.3,5.1,-1.4,-0.4
1/06/2004,84.4,60.9,71.7,65.9,53.7,71.8,45.2,70.1,70.6,-3.0,0.2,1.4,1.7,2.3,4.5,-0.7,0.3,-1.0
1/09/2004,84.2,60.9,71.2,67.1,54.7,72.3,46.8,68.6,70.6,-0.2,0.0,-0.7,1.8,1.9,0.7,3.5,-2.1,0.0
1/12/2004,84.8,62.4,72.0,68.6,57.1,74.6,49.7,69.7,71.8,0.7,2.5,1.1,2.2,4.4,3.2,6.2,1.6,1.7
1/03/2005,83.2,62.5,72.6,68.6,59.4,75.8,53.6,70.3,71.7,-1.9,0.2,0.8,0.0,4.0,1.6,7.8,0.9,-0.1
1/06/2005,82.6,63.2,73.3,69.3,62.6,76.9,54.7,69.9,72.2,-0.7,1.1,1.0,1.0,5.4,1.5,2.1,-0.6,0.7
1/09/2005,81.4,63.1,73.6,70.0,65.2,76.7,56.1,70.1,72.1,-1.5,-0.2,0.4,1.0,4.2,-0.3,2.6,0.3,-0.1
1/12/2005,81.8,64.0,75.0,71.6,70.0,79.1,60.2,71.7,73.5,0.5,1.4,1.9,2.3,7.4,3.1,7.3,2.3,1.9
1/03/2006,80.8,65.4,75.6,72.2,75.6,81.0,63.2,72.5,74.3,-1.2,2.2,0.8,0.8,8.0,2.4,5.0,1.1,1.1
1/06/2006,82.3,67.2,77.5,73.4,86.4,83.4,67.1,74.3,77.0,1.9,2.8,2.5,1.7,14.3,3.0,6.2,2.5,3.6
1/09/2006,82.0,68.1,78.5,73.8,95.1,84.6,67.3,76.0,78.4,-0.4,1.3,1.3,0.5,10.1,1.4,0.3,2.3,1.8
1/12/2006,82.7,69.5,80.5,75.7,98.4,86.1,70.5,77.1,79.8,0.9,2.1,2.5,2.6,3.5,1.8,4.8,1.4,1.8
1/03/2007,81.9,71.0,83.6,77.2,99.0,88.5,72.2,78.6,80.5,-1.0,2.2,3.9,2.0,0.6,2.8,2.4,1.9,0.9
1/06/2007,85.2,76.0,89.0,81.9,97.7,89.6,74.1,82.0,84.1,4.0,7.0,6.5,6.1,-1.3,1.2,2.6,4.3,4.5
1/09/2007,87.3,79.5,93.4,86.9,99.4,92.3,76.3,86.3,87.1,2.5,4.6,4.9,6.1,1.7,3.0,3.0,5.2,3.6
1/12/2007,89.2,84.7,98.1,91.9,100.6,96.0,78.3,88.6,90.4,2.2,6.5,5.0,5.8,1.2,4.0,2.6,2.7,3.8
1/03/2008,88.5,85.7,100.6,94.9,99.5,93.9,77.7,89.3,90.8,-0.8,1.2,2.5,3.3,-1.1,-2.2,-0.8,0.8,0.4
1/06/2008,87.3,85.5,101.3,93.8,97.6,95.2,78.5,87.7,90.0,-1.4,-0.2,0.7,-1.2,-1.9,1.4,1.0,-1.8,-0.9
1/09/2008,85.7,83.0,97.5,94.1,95.3,93.3,81.8,85.2,88.0,-1.8,-2.9,-3.8,0.3,-2.4,-2.0,4.2,-2.9,-2.2
1/12/2008,84.5,82.3,95.8,93.6,92.9,93.9,84.3,84.8,86.8,-1.4,-0.8,-1.7,-0.5,-2.5,0.6,3.1,-0.5,-1.4
1/03/2009,83.9,82.5,96.0,93.2,92.5,93.4,87.2,85.8,86.6,-0.7,0.2,0.2,-0.4,-0.4,-0.5,3.4,1.2,-0.2
1/06/2009,87.5,86.9,98.8,95.8,95.1,96.4,89.0,88.7,90.2,4.3,5.3,2.9,2.8,2.8,3.2,2.1,3.4,4.2
1/09/2009,91.1,92.5,102.1,97.2,97.6,98.6,92.3,92.1,94.0,4.1,6.4,3.3,1.5,2.6,2.3,3.7,3.8,4.2
1/12/2009,96.0,98.6,105.3,101.1,103.5,104.2,98.7,97.6,99.2,5.4,6.6,3.1,4.0,6.0,5.7,6.9,6.0,5.5
1/03/2010,98.9,103.3,106.4,102.8,106.5,105.9,99.4,101.7,102.3,3.0,4.8,1.0,1.7,2.9,1.6,0.7,4.2,3.1
1/06/2010,101.4,106.2,107.0,104.7,106.6,103.6,100.9,101.6,104.3,2.5,2.8,0.6,1.8,0.1,-2.2,1.5,-0.1,2.0
1/09/2010,101.1,104.3,105.3,103.9,103.8,103.5,101.1,101.6,103.0,-0.3,-1.8,-1.6,-0.8,-2.6,-0.1,0.2,0.0,-1.2
1/12/2010,101.3,105.7,105.0,104.8,103.9,106.6,101.9,102.5,103.6,0.2,1.3,-0.3,0.9,0.1,3.0,0.8,0.9,0.6
1/03/2011,101.0,104.7,102.9,103.3,103.0,105.9,99.5,102.3,102.7,-0.3,-0.9,-2.0,-1.4,-0.9,-0.7,-2.4,-0.2,-0.9
1/06/2011,101.4,103.5,102.5,101.0,100.2,102.9,96.5,101.9,102.0,0.4,-1.1,-0.4,-2.2,-2.7,-2.8,-3.0,-0.4,-0.7
1/09/2011,99.9,101.3,99.9,100.4,99.1,100.6,96.9,98.7,100.2,-1.5,-2.1,-2.5,-0.6,-1.1,-2.2,0.4,-3.1,-1.8
1/12/2011,98.4,100.0,100.2,100.7,99.4,101.9,98.2,100.9,99.4,-1.5,-1.3,0.3,0.3,0.3,1.3,1.3,2.2,-0.8
1/03/2012,100.3,99.4,100.0,99.3,100.5,99.4,100.8,100.8,100.0,1.9,-0.6,-0.2,-1.4,1.1,-2.5,2.6,-0.1,0.6
1/06/2012,101.4,99.3,99.9,99.6,101.0,98.2,104.1,99.5,100.4,1.1,-0.1,-0.1,0.3,0.5,-1.2,3.3,-1.3,0.4
1/09/2012,100.9,98.6,100.8,99.2,102.1,98.1,105.5,99.5,100.2,-0.5,-0.7,0.9,-0.4,1.1,-0.1,1.3,0.0,-0.2
1/12/2012,103.7,100.4,101.7,100.2,105.2,98.4,107.8,101.8,102.4,2.8,1.8,0.9,1.0,3.0,0.3,2.2,2.3,2.2
1/03/2013,104.7,100.8,101.9,99.8,107.5,100.0,109.6,100.3,103.1,1.0,0.4,0.2,-0.4,2.2,1.6,1.7,-1.5,0.7
1/06/2013,108.7,102.7,103.2,100.9,110.6,100.0,111.0,101.0,105.7,3.8,1.9,1.3,1.1,2.9,0.0,1.3,0.7,2.5
1/09/2013,112.8,105.9,104.5,101.3,110.7,101.0,111.3,101.1,108.3,3.8,3.1,1.3,0.4,0.1,1.0,0.3,0.1,2.5
1/12/2013,118.4,109.5,107.2,104.0,114.1,103.4,112.9,101.5,112.4,5.0,3.4,2.6,2.7,3.1,2.4,1.4,0.4,3.8
1/03/2014,121.1,111.8,108.1,104.7,115.3,104.8,114.1,101.4,114.3,2.3,2.1,0.8,0.7,1.1,1.4,1.1,-0.1,1.7
